date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-09-30T00:00:00.000,Polk,FL,Passenger,1,0,1,61,62,1.612903225806451612903225806
2020-09-30T00:00:00.000,Riverside,CA,Passenger,3,0,3,607,610,0.4918032786885245901639344262
2020-09-30T00:00:00.000,Sacramento,CA,Passenger,1,0,1,249,250,0.400
2020-09-30T00:00:00.000,San Mateo,CA,Passenger,0,1,1,103,104,0.9615384615384615384615384615
2020-09-30T00:00:00.000,Sarasota,FL,Passenger,2,0,2,24,26,7.692307692307692307692307692
2020-09-30T00:00:00.000,Shelby,OH,Passenger,0,1,1,1,2,50.0
2020-11-30T00:00:00.000,Larimer,CO,Passenger,1,0,1,53,54,1.851851851851851851851851852
2020-11-30T00:00:00.000,Maui,HI,Passenger,1,0,1,28,29,3.448275862068965517241379310
2020-11-30T00:00:00.000,Missoula,MT,Passenger,1,0,1,59,60,1.666666666666666666666666667
2020-11-30T00:00:00.000,Oldham,KY,Passenger,0,1,1,4,5,20.0
2020-08-31T00:00:00.000,Richland,SC,Passenger,0,1,1,153,154,0.6493506493506493506493506494
2020-08-31T00:00:00.000,Salt Lake,UT,Passenger,0,2,2,178,180,1.111111111111111111111111111
2020-08-31T00:00:00.000,Skamania,WA,Passenger,31,21,52,8378,8430,0.6168446026097271648873072361
2020-08-31T00:00:00.000,Solano,CA,Passenger,1,0,1,213,214,0.4672897196261682242990654206
2020-08-31T00:00:00.000,Tulsa,OK,Passenger,1,1,2,41,43,4.651162790697674418604651163
2020-07-31T00:00:00.000,Ada,ID,Passenger,0,1,1,256,257,0.3891050583657587548638132296
2020-07-31T00:00:00.000,Bartow,GA,Passenger,0,1,1,2,3,33.33333333333333333333333333
2020-07-31T00:00:00.000,Bexar,TX,Passenger,4,5,9,591,600,1.500
2020-07-31T00:00:00.000,Chesapeake,VA,Passenger,0,2,2,419,421,0.4750593824228028503562945368
2020-09-30T00:00:00.000,Jefferson,WA,Truck,0,0,0,9544,9544,0
2020-09-30T00:00:00.000,Klamath,OR,Passenger,1,0,1,29,30,3.333333333333333333333333333
2020-09-30T00:00:00.000,Lewis,WA,Truck,0,0,0,26450,26450,0
2020-09-30T00:00:00.000,Los Angeles,CA,Passenger,9,11,20,974,994,2.012072434607645875251509054
