vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
5YJSA1H18E,King,Kirkland,WA,98033,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,101090699,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402,3009,1,47
5YJYGDEF2M,King,Woodinville,WA,98072,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,167255203,"{'type': 'Point', 'coordinates': [-122.15545, 47.75448]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906,3009,1,47
5YJ3E1EB4L,King,Duvall,WA,98019,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,45,224294164,"{'type': 'Point', 'coordinates': [-121.98609, 47.74068]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401,3009,1,47
7SAYGDEE9N,Cowlitz,Longview,WA,98632,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,19,207053899,"{'type': 'Point', 'coordinates': [-122.95058, 46.14681]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015000601,2978,3,26
SADHD2S15N,King,Kirkland,WA,98034,2022,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,179456553,"{'type': 'Point', 'coordinates': [-122.22901, 47.72201]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904,3009,1,1
KNDJP3AE8H,Kitsap,Olalla,WA,98359,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,26,350084948,"{'type': 'Point', 'coordinates': [-122.54729, 47.42602]}",PUGET SOUND ENERGY INC,53035092803,848,6,33
5YJ3E1EB2J,King,Renton,WA,98057,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,475098284,"{'type': 'Point', 'coordinates': [-122.21023999999994, 47.47970470000007]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025704,3009,9,38
WVGGNPE25M,King,Seattle,WA,98103,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,196451377,"{'type': 'Point', 'coordinates': [-122.35436, 47.67596]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005402,3009,7,4
1N4AZ1CPXJ,King,Normandy Park,WA,98166,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,33,345416886,"{'type': 'Point', 'coordinates': [-122.34118, 47.46665]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600,3009,7,37
5YJ3E1EB8N,King,Seattle,WA,98121,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,203986380,"{'type': 'Point', 'coordinates': [-122.34468, 47.61578]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202,3009,7,31
